coordinates,radiance
11.737500190734863N 4.4708333015441895E,10
11.975000381469727N 4.541666507720947E,15
11.712499618530273N 5.3458333015441895E,13
12.274999618530273N 4.4375E,17
13.170833587646484N 5.395833492279053E,23
12.350000381469727N 4.570833206176758E,10
12.041666984558105N 6.224999904632568E,10
12.854166984558105N 5.3458333015441895E,12
11.695833206176758N 4.087500095367432E,10
12.875N 6.487500190734863E,11
12.833333015441895N 5.137499809265137E,19
12.966666221618652N 5.745833396911621E,9
11.712499618530273N 5.366666793823242E,8
12.154166221618652N 4.233333110809326E,27
12.408333778381348N 4.637499809265137E,9
12.524999618530273N 6.045833110809326E,12
12.829166412353516N 4.520833492279053E,9
11.958333015441895N 6.262499809265137E,23
12.395833015441895N 4.650000095367432E,22
12.004166603088379N 5.050000190734863E,12
12.804166793823242N 4.612500190734863E,14
12.841666221618652N 5.150000095367432E,11
12.041666984558105N 5.745833396911621E,9
12.304166793823242N 4.5E,11
11.712499618530273N 4.245833396911621E,10
12.975000381469727N 5.270833492279053E,23
13.170833587646484N 5.954166889190674E,10
12.949999809265137N 5.287499904632568E,18
13.654166221618652N 6.704166889190674E,9
12.141666412353516N 5.125E,21
12.116666793823242N 5.925000190734863E,24
11.891666412353516N 4.916666507720947E,11
12.366666793823242N 6.137499809265137E,10
13.166666984558105N 5.400000095367432E,14
12.666666984558105N 5.558333396911621E,16
13.558333396911621N 6.324999809265137E,24
12.666666984558105N 5.920833110809326E,18
12.108333587646484N 5.929166793823242E,27
13.287500381469727N 5.425000190734863E,14
14.137499809265137N 5.9041666984558105E,13
12.100000381469727N 6.150000095367432E,12
13.366666793823242N 5.254166603088379E,20
13.195833206176758N 6.4041666984558105E,32
12.595833778381348N 5.545833110809326E,21
12.108333587646484N 5.925000190734863E,19
12.399999618530273N 4.650000095367432E,17
13.133333206176758N 5.212500095367432E,24
13.658333778381348N 6.691666603088379E,28
12.079166412353516N 5.5625E,23
12.800000190734863N 6.433333396911621E,9
13.195833206176758N 6.400000095367432E,29
12.033333778381348N 5.233333110809326E,9
13.441666603088379N 5.675000190734863E,13
13.004166603088379N 5.691666603088379E,11
12.625N 4.995833396911621E,9
12.141666412353516N 5.129166603088379E,20
11.666666984558105N 5.816666603088379E,11
13.487500190734863N 5.233333110809326E,9
11.762499809265137N 5.941666603088379E,17
13.795833587646484N 5.099999904632568E,10
13.054166793823242N 6.504166603088379E,14
12.037500381469727N 4.145833492279053E,8
14.0625N 5.958333492279053E,32
12.595833778381348N 5.550000190734863E,11
12.620833396911621N 4.991666793823242E,10
13.079166412353516N 6.5E,23
12.170833587646484N 5.179166793823242E,8
12.408333778381348N 4.645833492279053E,18
13.308333396911621N 5.366666793823242E,9
13.725000381469727N 5.308333396911621E,11
12.104166984558105N 5.933333396911621E,12
11.949999809265137N 6.037499904632568E,17
11.770833015441895N 6.1875E,9
12.987500190734863N 6.491666793823242E,29
12.408333778381348N 4.650000095367432E,19
13.1875N 6.445833206176758E,9
12.962499618530273N 5.199999809265137E,17
12.850000381469727N 5.349999904632568E,11
12.891666412353516N 4.929166793823242E,15
13.0N 6.520833492279053E,8
12.629166603088379N 4.991666793823242E,10
12.824999809265137N 5.133333206176758E,10
12.366666793823242N 6.141666889190674E,12
11.829166412353516N 4.9708333015441895E,9
12.125N 5.945833206176758E,9
13.491666793823242N 5.233333110809326E,13
13.733333587646484N 5.291666507720947E,12
11.962499618530273N 6.254166603088379E,16
12.729166984558105N 5.008333206176758E,38
12.100000381469727N 6.1541666984558105E,13
11.770833015441895N 4.179166793823242E,9
11.704166412353516N 4.483333110809326E,33
13.479166984558105N 5.912499904632568E,10
12.541666984558105N 4.9375E,25
13.033333778381348N 5.108333110809326E,17
12.245833396911621N 4.383333206176758E,15
12.316666603088379N 5.991666793823242E,11
13.270833015441895N 4.054166793823242E,8
11.708333015441895N 5.4375E,12
13.729166984558105N 5.291666507720947E,10
12.404166221618652N 4.650000095367432E,14
12.404166221618652N 4.637499809265137E,18
12.033333778381348N 4.608333110809326E,9
11.766666412353516N 4.179166793823242E,9
12.045833587646484N 5.741666793823242E,15
12.458333015441895N 6.287499904632568E,8
